,회사,사업,직원수,기업구분,대졸초임,정규직 채용
170,㈜스타비젼,백화점·유통·도소매,111명,중소기업,"3,394만원",172회
171,㈜비상교육영어사업부,학원·어학원·교육원,"1,000명",중견기업,None,57회
172,㈜누리인포스,솔루션·SI·CRM·ERP,70명,중소기업,"3,100만원",25회
173,㈜띵스파이어,솔루션·SI·CRM·ERP,29명,벤처기업,None,114회
174,㈜커넥트웨이브,쇼핑몰·오픈마켓·소셜커머스,"1,900명",중견기업,"3,300만원",310회
175,㈜유니메오,솔루션·SI·CRM·ERP,40명,벤처기업,"3,200만원",97회
176,㈜세찬아이앤씨,응용 소프트웨어 개발 및 공급업,60명,중소기업,None,16회
177,㈜텔로스,응용 소프트웨어 개발 및 공급업,48명,중소기업,"2,900만원",79회
178,㈜비젠소프트,컴퓨터 프로그래밍 서비스업,25명,중소기업,"2,800만원",309회
179,스마트레이저,응용 소프트웨어 개발 및 공급업,13명,중소기업,None,8회
180,인피니언테크놀로지스파워세미텍(주),반도체·디스플레이·광학,320명,외국계(외국 법인기타),"3,600만원",45회
181,놀이의발견,전자상거래 소매 중개업,56명,중견기업,"3,500만원",127회
182,㈜오케이포스,솔루션·SI·CRM·ERP,230명,중견기업,"3,000만원",107회
183,오리진,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",7명,중소기업,None,20회
184,㈜픽스,웹에이전시,10명,중소기업,None,46회
185,다온플레이스㈜,솔루션·SI·CRM·ERP,41명,중소기업,"2,760만원",49회
186,㈜웨이브,솔루션·SI·CRM·ERP,32명,벤처기업,None,46회
187,아이낸스㈜,솔루션·SI·CRM·ERP,25명,중소기업,None,6회
188,㈜스타일셀러,시스템 소프트웨어 개발 및 공급업,30명,중소기업,"3,350만원",58회
189,㈜케이제이프로퍼티,솔루션·SI·CRM·ERP,중소기업,2023.05.23,None,32회
190,㈜웨어밸리,솔루션·SI·CRM·ERP,86명,중소기업,None,15회
191,㈜테크랩스,광고·홍보·전시,280명,벤처기업,"4,070만원",331회
192,㈜파비넷,시스템 소프트웨어 개발 및 공급업,4명,중소기업,None,6회
193,㈜커넥션스튜디오,포털·컨텐츠·커뮤니티,-,중소기업,None,9회
194,렉스코드,콜센터·아웃소싱·기타,50명,외국계(외국 투자기업),"3,200만원",19회
195,㈜솔리데오시스템즈,응용 소프트웨어 개발 및 공급업,278명,중소기업,None,51회
196,조인아이티,응용 소프트웨어 개발 및 공급업,18명,중소기업,None,0회
197,㈜이엠포커스,솔루션·SI·CRM·ERP,26명,중소기업,"2,600만원",5회
198,㈜보다컴,네트워크·통신서비스,35명,중소기업,None,16회
199,㈜그레이브릿지,그 외 기타 정보 서비스업,26명,중소기업,"4,200만원",88회
200,영성미디어㈜,일반 영화 및 비디오물 제작업,중소기업,1999.10.13,None,102회
201,㈜아이스크림에듀,포털·컨텐츠·커뮤니티,380명,중견기업,"3,000만원",216회
202,㈜아이서포트,응용 소프트웨어 개발 및 공급업,3명,중소기업,None,22회
203,㈜프라이스원,솔루션·SI·CRM·ERP,6명,중소기업,None,1회
204,마이데이터,응용 소프트웨어 개발 및 공급업,35명,벤처기업,None,68회
205,㈜지로드코리아(CTS기독교TV),포털·컨텐츠·커뮤니티,20명,중소기업,"2,800만원",107회
206,이티브코딩아트컴퓨터학원,학원·어학원·교육원,1명,중소기업,None,1회
207,아이티컨버젼,응용 소프트웨어 개발 및 공급업,20명,중소기업,"3,400만원",150회
208,블록스퀘어서울,IT컨설팅,10명,중소기업,"3,000만원",50회
209,㈜아이락커뮤니케이션,솔루션·SI·CRM·ERP,22명,벤처기업,None,27회
210,위즈덤마인드㈜,응용 소프트웨어 개발 및 공급업,10명,중소기업,None,19회
211,㈜셀키(CellKey),의학 및 약학 연구개발업,-,중소기업,None,17회
212,코드크레인(유),시스템 소프트웨어 개발 및 공급업,20명,중소기업,None,39회
213,토크스테이션,학원·어학원·교육원,60명,중소기업,None,231회
214,㈜스컬드랩스,응용 소프트웨어 개발 및 공급업,10명,중소기업,"9,500만원",5회
215,엔디소프트㈜,솔루션·SI·CRM·ERP,50명,중소기업,"3,100만원",26회
216,이지서티,솔루션·SI·CRM·ERP,85명,중소기업,"3,000만원",70회
217,㈜에이젠글로벌,IT컨설팅,32명,벤처기업,None,62회
218,㈜지니어스나인,웹에이전시,15명,중소기업,None,5회
219,정책평가연구원,기타 인문 및 사회과학 연구개발업,-,중소기업,None,4회
220,㈜인티그리트,전기·전자·제어,38명,중소기업,"3,600만원",110회
221,㈜더줌코리아,솔루션·SI·CRM·ERP,23명,중소기업,None,17회
222,"버터소프트(Buttersoft),㈜",포털·컨텐츠·커뮤니티,10명,벤처기업,None,0회
223,㈜이엘온소프트,솔루션·SI·CRM·ERP,51명,벤처기업,None,22회
224,㈜뉴로코어,솔루션·SI·CRM·ERP,25명,벤처기업,None,2회
225,㈜마크로젠,제약·보건·바이오,498명,중견기업,"2,980만원",93회
226,피플라이프㈜,증권·보험·카드,455명,대기업 계열사·자회사,"3,000만원",19회
227,이데아텍,솔루션·SI·CRM·ERP,50명,벤처기업,None,83회
228,주식회사 디자인오브,시각 디자인업,5명,중소기업,"3,400만원",41회
229,아이유노글로벌,방송·케이블·프로덕션,240명,외국계(외국 투자기업),"3,300만원",133회
230,㈜온택트헬스,응용 소프트웨어 개발 및 공급업,49명,중소기업,None,130회
231,㈜미래아이엔텍,솔루션·SI·CRM·ERP,85명,중소기업,None,8회
232,트리노드㈜,게임·애니메이션,220명,중소기업,None,107회
