,회사,사업,직원수,기업구분,대졸초임,정규직 채용
308,㈜라이브애플리케이션,정보보안,16명,벤처기업,None,26회
309,더화이트커뮤니케이션㈜,기타 정보기술 및 컴퓨터운영 관련 서비스업,300명,중소기업,"3,500만원",69회
310,주식회사 쿠캣,포털·컨텐츠·커뮤니티,중소기업,2014.07.21,"3,000만원",14회
311,㈜부산웹,컴퓨터 프로그래밍 서비스업,5명,중소기업,"3,500만원",13회
312,㈜트립토파즈,여행사업,30명,중소기업,None,15회
313,㈜천조,컴퓨터·하드웨어·장비,60명,중소기업,None,63회
314,㈜비소프트,응용 소프트웨어 개발 및 공급업,11명,중소기업,None,2회
315,㈜한국이디에스,솔루션·SI·CRM·ERP,250명,중소기업,None,51회
316,리퓨어헬스케어㈜,무역·상사,36명,중소기업,"2,700만원",92회
317,㈜아이센스에프앤비,음식료·외식·프랜차이즈,100명,중소기업,"2,984만원",259회
318,㈜캐시카우,모바일·APP,15명,벤처기업,"2,760만원",14회
319,㈜에스오더,네트워크·통신서비스,40명,중소기업,None,61회
320,㈜타임게이트,시스템 소프트웨어 개발 및 공급업,166명,중소기업,"3,200만원",66회
321,씨아이랩스,컴퓨터 프로그래밍 서비스업,5명,중소기업,None,39회
322,코아시스템,솔루션·SI·CRM·ERP,24명,중소기업,None,26회
323,㈜에이치엔서브,사업시설 유지.관리 서비스업,815명,중소기업,"2,780만원",24회
324,㈜더블에스코어,광고 대행업,-,중소기업,None,3회
325,이브로드캐스팅㈜,데이터베이스 및 온라인정보 제공업,65명,중소기업,None,25회
326,㈜화물맨,"화물운송 중개, 대리 및 관련 서비스업",62명,중소기업,None,36회
327,㈜예스폼,포털·컨텐츠·커뮤니티,30명,중소기업,"3,150만원",33회
328,카페24(주),솔루션·SI·CRM·ERP,"1,120명",중견기업,"3,050만원",296회
329,㈜심비즈코리아,응용 소프트웨어 개발 및 공급업,9명,중소기업,None,26회
330,㈜와이오즈,컴퓨터시스템 통합 자문 및 구축 서비스업,13명,중소기업,"3,300만원",161회
331,지니언스(주),정보보안,188명,중소기업,"3,400만원",87회
332,(주)동아사이언스,출판·인쇄·사진,110명,중견기업,"2,750만원",109회
333,㈜오너클랜,전자상거래 소매 중개업,92명,중소기업,"2,800만원",264회
334,㈜아이퀘스트,솔루션·SI·CRM·ERP,110명,중소기업,"4,500만원",92회
335,㈜비전스페이스,응용 소프트웨어 개발 및 공급업,5명,중소기업,None,6회
336,디어유,응용 소프트웨어 개발 및 공급업,89명,대기업,"4,000만원",272회
337,㈜코콤,전기·전자·제어,159명,중견기업,None,115회
338,현대오토에버㈜,솔루션·SI·CRM·ERP,"6,444명",대기업,"2,900만원",644회
339,㈜기어세컨드,모바일 게임 소프트웨어 개발 및 공급업,20명,중소기업,None,27회
340,엔스소프트,솔루션·SI·CRM·ERP,-,중소기업,None,3회
341,㈜유진로봇,전기·전자·제어,180명,중견기업,None,368회
342,㈜스카이블루,응용 소프트웨어 개발 및 공급업,1명,중소기업,None,18회
343,주식회사 정감,광고·홍보·전시,2명,중소기업,None,1회
344,㈜티에이치케이컴퍼니,의료용품 도매업,97명,중소기업,None,97회
345,유니드잡,임시 및 일용 인력 공급업,5명,중소기업,None,843회
346,㈜뷰리드,광고 대행업,15명,중소기업,"2,987만원",404회
347,씨앤토트플러스㈜,시스템 소프트웨어 개발 및 공급업,320명,중소기업,"2,900만원",81회
348,㈜포커스정보,솔루션·SI·CRM·ERP,10명,중소기업,None,2회
349,㈜뷰티올,그 외 기타 정보 서비스업,20명,중소기업,None,27회
350,㈜디엔에이소프트,광고·홍보·전시,30명,중소기업,"3,000만원",44회
351,위버로프트㈜,웹에이전시,37명,중소기업,"3,200만원",119회
352,㈜지엘엔인터내셔널,은행·금융,50명,대기업 계열사·자회사,"4,500만원",89회
353,(주)렛유인에듀,학원·어학원·교육원,37명,중소기업,"3,175만원",659회
354,케이알유통㈜,대형 마트,27명,중견기업,None,11회
355,서울랩스,솔루션·SI·CRM·ERP,25명,중소기업,"5,500만원",4회
356,㈜핑거,솔루션·SI·CRM·ERP,250명,벤처기업,"3,480만원",33회
357,에코인사이트글로벌,솔루션·SI·CRM·ERP,20명,벤처기업,None,17회
358,㈜곰앤컴퍼니,포털·컨텐츠·커뮤니티,60명,중소기업,None,76회
359,㈜티모넷,솔루션·SI·CRM·ERP,84명,벤처기업,"3,400만원",173회
360,㈜한국정보공작소,솔루션·SI·CRM·ERP,38명,중소기업,None,33회
361,엠투클라우드,솔루션·SI·CRM·ERP,11명,중소기업,None,70회
362,아이비티에스㈜,솔루션·SI·CRM·ERP,16명,중소기업,None,37회
363,파인테크소프트㈜(PINETEC,쇼핑몰·오픈마켓·소셜커머스,14명,벤처기업,None,26회
364,(주)클릭인포,솔루션·SI·CRM·ERP,18명,중소기업,"2,960만원",38회
365,㈜다올피플,응용 소프트웨어 개발 및 공급업,2명,중소기업,None,1회
366,㈜마켓트리,모바일·APP,20명,중소기업,"3,900만원",72회
367,㈜포캐스크이엔엠(PoCask E&M),광고 대행업,15명,중소기업,None,21회
368,인포뱅크(주),그 외 기타 정보 서비스업,181명,중견기업,"4,100만원",122회
369,㈜스케치북,응용 소프트웨어 개발 및 공급업,20명,중소기업,"3,120만원",22회
