분류,운임거리,비용
통상요금,기본운임(2㎞),"4,000원"
통상요금,이후 거리 요금(m),100원/125m
통상요금,이후 시간 요금(초),100원/30초
할증요금,심야할증,20%
할증요금,이후 거리 요금(m),시계외 할증 30%
